Radial position,mean velocity
-0.6549757025142616,0.3404086045971597
-0.6127192055778576,0.389990342388108
-0.5704627086414537,0.3475542827647097
-0.5493344601732516,0.3422056157667043
-0.5282062117050497,0.3441475428626764
-0.5176420874709486,0.3460294300024167
-0.5123600253538981,0.49334805582794994
-0.5113036129304881,0.7225654712190561
-0.5091907880836679,1.4812941564094133
-0.5079230931755757,2.6359994190827196
-0.5070779632368477,10.446092228262259
-0.4859497147686457,10.485779473339901
-0.4648214663004437,10.460072763780342
-0.44369321783224175,10.454316600408287
-0.42256496936403976,10.406979275978802
-0.40143672089583776,10.379344047605366
-0.38030847242763577,10.36052384384778
-0.23241073315022184,10.298373853637568
-0.021128248468201986,10.241642309361707
0.19015423621381788,10.272149120156351
0.40143672089583776,10.43024716621941
0.42256496936403976,10.515382766233827
0.44369321783224175,10.446938467044697
0.4859497147686457,10.379047957303849
0.5070779632368477,6.105446842600685
0.5282062117050497,0.5066472827344428
0.5493344601732516,0.3399237210749803
0.5704627086414537,0.3415261429259631
0.5915909571096556,0.3379633264128955
0.6127192055778576,0.3381586746175663
